Journal ID, Journal Name, At least one reviewer, At least one peer reviewer recommendation, Editorial Decision, At least one copyediting file, Proofreading activity, # issues published since 1/1/2012, Date last published, # reviewers enrolled, # editors enrolled, # section editors enrolled
1,"Technology Innovations in Statistics Education",62,60,65,62,7,1,2012-01-04 18:16:36,211,3,1
2,"Textos Híbridos: Revista de estudios sobre la crónica latinoamericana",0,0,31,0,0,2,2013-01-01 20:24:18,1,2,0
3,"TRANSMODERNITY: Journal of Peripheral Cultural Production of the Luso-Hispanic World",14,9,54,14,1,3,2012-11-03 00:00:00,50,3,2
4,"Journal of Critical Mixed Race Studies",14,13,16,14,0,0,never published,48,6,0
5,"Cliodynamics: The Journal of Theoretical and Mathematical History",16,14,57,16,1,2,2012-12-31 15:26:28,87,1,0
6,"Comitatus: A Journal of Medieval and Renaissance Studies",0,0,0,0,0,0,2001-10-01 00:00:00,0,2,1
7,"Crossroads of Language, Interaction and Culture",8,8,10,8,0,0,2011-10-01 00:00:00,35,8,1
8,"InterActions: UCLA Journal of Education and Information Studies",105,96,248,105,10,3,2013-02-03 00:00:00,384,4,2
9,"The Journal of California Anthropology",0,0,402,0,0,0,1978-12-01 00:00:00,0,4,2
10,"The Journal of California and Great Basin Anthropology",0,0,1014,0,0,2,2012-05-07 00:00:00,1,5,3
11,"Litterae Caelestes: Rivista annuale internazionale di paleografia, codicologia, diplomatica e storia delle testimonianze",0,0,25,0,0,0,2009-01-01 00:00:00,0,2,1
12,"Journal for Learning through the Arts: A Research Journal on Arts Integration in Schools and Communities",76,72,129,76,1,1,2012-03-02 17:27:11,102,8,1
13,"Nutrition Bytes",144,144,152,144,0,2,2013-01-17 00:00:00,157,3,1
14,"Nutrition Noteworthy",0,0,0,0,0,0,2005-01-01 00:00:00,10,4,1
15,"Paroles gelées",20,18,279,20,1,0,2010-11-06 00:00:00,65,11,3
16,"Structure and Dynamics: eJournal of Anthropological and Related Sciences",77,72,107,77,1,1,2012-08-24 11:09:40,391,44,1
17,"Spaces for Difference: An Interdisciplinary Journal",12,10,93,12,4,1,2012-04-03 03:12:43,130,6,1
18,"World Cultures eJournal",0,0,1,0,0,1,2013-01-02 15:01:40,27,10,0
19,"Issues in Applied Linguistics",22,20,357,22,10,0,2011-11-01 00:00:00,144,3,10
20,"Places",0,0,0,0,0,0,2009-05-19 00:00:00,0,2,1
21,"Streetnotes",5,1,33,5,2,1,2012-09-17 00:00:00,14,5,2
22,"Journal of Transnational American Studies",122,121,295,122,1,2,2012-12-28 16:30:25,545,9,1
23,"PaleoBios",1,0,1,1,0,0,never published,1,4,2
24,"International Journal of Comparative Psychology",0,0,312,0,0,48,2012-11-13 15:24:40,3,5,2
25,"Electronic Green Journal",45,44,213,45,17,3,2013-02-16 00:00:00,130,5,2
